"id","Name","City","Country","IATA","Latitude","Longitude"
"10482","Delta Downs Airport","","","DDN","-16.99169922","141.3170013"
"4777","Nadym Airport","Nadym","Russia","NYM","65.48090363","72.69889832"
"7973","  Kokoda","Kokoda","Papua New Guinea","KKD","-8.883","147.717"
"5649","Lintsang Airfield","Lincang","China","LNJ","23.73810005","100.0250015"
"5416","Buckland Airport","Buckland","United States","BKC","65.9815979","-161.1490021"
"10011","Puerto La Victoria Airport","Cerro Morado","Paraguay","PCJ","-22.295041","-57.866333"
"9687","Twentynine Palms Airport","Twentynine Palms","United States","TNP","34.133901","-115.947347"
"7433","Ponta Grossa Airport - Comandante Antonio Amilton Beraldo","Ponta Grossa","Brazil","PGZ","-25.1847","-50.1441"
"1545","Václav Havel Airport Prague","Prague","Czech Republic","PRG","50.1008","14.26"
"7822","FAKARAVA","","","FAK","-16.05","-145.65"
"4360","Bo Airport","Bo","Sierra Leone","KBS","7.944399834","-11.76099968"
"10240","Xavantina Airport","","Brazil","NOK","-14.69830036","-52.34640121"
"2870","Ampara Airport","Galoya","Sri Lanka","ADP","7.33776","81.62594"
"9251","Eureka Airport","Eureka","United States","EUE","39.60419846","-116.0049973"
"4989","Zhanjiang Airport","Zhanjiang","China","ZHA","21.214399","110.358002"
"1638","Etimesgut Air Base","Ankara","Turkey","ANK","39.94979858","32.68859863"
"5698","Beru Airport","Beru Island","Kiribati","BEZ","-1.354719996","176.0070038"
"8133","Port Harcourt City","Port Harcourt","Nigeria","PHG","4.85","7.0167"
"4056","Broome International Airport","Broome","Australia","BME","-17.94470024","122.2320023"
"4131","Buka Airport","Buka Island","Papua New Guinea","BUA","-5.422319889","154.6730042"
"7425","Waycross Ware County Airport","Waycross","United States","AYS","31.24909973","-82.39550018"
"8317","Takume","","","TJN","-15.857","-142.267"
"9806","Hinthada Airport","Hinthada","Myanmar (Burma)","HEB","17.63332939","95.46669769"
"2122","Multan International Airport","Multan","Pakistan","MUX","30.20319939","71.4190979"
"5216","Reykjahlíð Airport","Myvatn","Iceland","MVA","65.65579987","-16.91810036"
"2697","Guiria Airport","Guiria","Venezuela","GUI","10.57407761","-62.31266785"
"4902","Groote Eylandt Airport","Groote Eylandt","Australia","GTE","-13.97500038","136.4600067"
"9331","Virgil I Grissom Municipal Airport","Bedford","United States","BFR","38.84000015","-86.44539642"
"8117","Contadora                               ","Saboga","Panama","OTD","8.617","-79.033"
"4840","Tanjung Harapan Airport","Tanjung Selor-Borneo Island","Indonesia","TJS","2.835833333","117.3736111"
"4503","Puerto Lempira Airport","Puerto Lempira","Honduras","PEU","15.2622","-83.781197"
"4687","Sorocaba Airport","Sorocaba","Brazil","SOD","-23.478001","-47.490002"
"4054","Sabiha Gökçen International Airport","Istanbul","Turkey","SAW","40.89860153","29.30920029"
"424","Ivalo Airport","Ivalo","Finland","IVL","68.6072998","27.40530014"
"1012","Bukavu Kavumu Airport","Bukavu/kavumu","Congo (Kinshasa)","BKY","-2.308979988","28.80879974"
"5283","Naiu Airport","Niau","French Polynesia","NIU","-16.1191","-146.3683"
"8855","Boulsa Airport","Boulsa","Burkina Faso","XBO","12.64999962","-0.566999972"
"4778","Raduzhny Airport","Raduzhnyi","Russia","RAT","62.15859985","77.3289032"
"10086","Paratebueno Airport","","Colombia","EUO","4.383333","-73.2"
"3352","Joint Base Andrews","Camp Springs","United States","ADW","38.810799","-76.866997"
"1016","Kolwezi Airport","Kolwezi","Congo (Kinshasa)","KWZ","-10.76589966","25.50569916"
"1485","Il Caravaggio International Airport","Bergamo","Italy","BGY","45.673901","9.70417"
"10360","Mindiptana Airport","","Indonesia","MDP","-5.75","140.3670044"
"10587","Mungeranie Airport","Mungeranie","Australia","MNE","-28.00919914","138.6569977"
"7273","Smithton Airport","","Australia","SIO","-40.83499908","145.0839996"
"1451","Zakynthos International Airport ""Dionysios Solomos""","Zakynthos","Greece","ZTH","37.7509","20.8843"
"2814","Magnitogorsk International Airport","Magnetiogorsk","Russia","MQF","53.39310074","58.75569916"
"4688","San Cristóbal Airport","San Cristóbal","Ecuador","SCY","-0.910206","-89.617401"
"5839","Easton Newnam Field","Easton","United States","ESN","38.80419922","-76.06900024"
"518","East Midlands Airport","East Midlands","United Kingdom","EMA","52.83110046","-1.328060031"
"7285","Shiyan Wudangshan Airport","Shiyan","China","WDS","32.591667","110.907778"
"1720","Toncontín International Airport","Tegucigalpa","Honduras","TGU","14.06089973","-87.21720123"
"8811","Brockville - Thousand Islands Regional Tackaberry Airport","","Canada","XBR","44.63940048","-75.75029755"
"9574","Stroudsburg Pocono Airport","East Stroudsburg","United States","ESP","41.03580093","-75.16059875"
"9283","Mesquite Airport","Mesquite","United States","MFH","36.83499908","-114.0550003"
"4034","Ratanakiri Airport","Ratanakiri","Cambodia","RBE","13.72999954","106.9869995"
"3556","Palmdale Regional/USAF Plant 42 Airport","Palmdale","United States","PMD","34.62939835","-118.0849991"
"1350","Paris-Orly Airport","Paris","France","ORY","48.7233333","2.3794444"
"8251","VILLA REYNOLDS","Villa Reynolds","Argentina","RYD","-33.7317","-65.3867"
"2475","Senador Nilo Coelho Airport","Petrolina","Brazil","PNZ","-9.362409592","-40.56909943"
"6415","Bromont (Roland Desourdy) Airport","Bromont","Canada","ZBM","45.29079819","-72.74140167"
"8658","Negarbo(Negabo) Airport","Tivi","Papua New Guinea","GBF","-6.567778","144.703058"
"1019","Kananga Airport","Kananga","Congo (Kinshasa)","KGA","-5.900050163","22.46920013"
"2088","King Hussein Air College","Mafraq","Jordan","OMF","32.3564","36.259201"
"9996","Cagayan North International Airport","Lal-Lo","Philippines","LLC","18.182388","121.745853"
"3789","Surat Thani Airport","Surat Thani","Thailand","URT","9.132599831","99.13559723"
"6298","Ust-Tsylma Airport","Ust-Tsylma","Russia","UTS","65.43729401","52.20033646"
"6807","Talladega Municipal Airport","Talladega","United States","ASN","33.56990051","-86.05090332"
"7333","Glasgow Municipal Airport","Glasgow","United States","GLW","37.03179932","-85.9536972"
"8664","Oksapmin Airport","Oksapmin","Papua New Guinea","OKP","-5.2261","142.2259"
"10574","Miles Airport","Miles","Australia","WLE","-26.80830002","150.1750031"
"1049","Mohammed V International Airport","Casablanca","Morocco","CMN","33.36750031","-7.589970112"
"5708","Ulawa Airport","Ulawa","Solomon Islands","RNA","-9.860543583","161.9795465"
"10645","Thylungra Airport","","","TYG","-26.08329964","143.4669952"
"8829","Jasper Airport","Jasper","Canada","YJA","52.996418","-118.060233"
"417","Helsinki Vantaa Airport","Helsinki","Finland","HEL","60.31719971","24.9633007"
"1410","Dimokritos Airport","Alexandroupolis","Greece","AXD","40.85589981","25.95630074"
"7998","Zachar Bay","Kodiak","United States","KZB","57.55","-153.75"
"10138","Velásquez Airport","","Colombia","PYA","5.93904","-74.457"
"2651","Jorge Chávez International Airport","Lima","Peru","LIM","-12.0219","-77.114305"
"4226","Inukjuak Airport","Inukjuak","Canada","YPH","58.47190094","-78.07689667"
"53","Inuvik Mike Zubko Airport","Inuvik","Canada","YEV","68.30419922","-133.4830017"
"95","Matagami Airport","Matagami","Canada","YNM","49.76169968","-77.80280304"
"3021","Da Nang International Airport","Danang","Vietnam","DAD","16.04389954","108.1989975"
"619","Aalborg Airport","Aalborg","Denmark","AAL","57.09275891","9.849243164"
"3071","Kaimana Airport","Kaimana","Indonesia","KNG","-3.644520044","133.6959991"
"2831","Syktyvkar Airport","Syktyvkar","Russia","SCW","61.64699936","50.8451004"
"369","Dortmund Airport","Dortmund","Germany","DTM","51.5182991","7.612239838"
"2422","Cruzeiro do Sul Airport","Cruzeiro do Sul","Brazil","CZS","-7.599909782","-72.76950073"
"1841","Jaime Gonzalez Airport","Cienfuegos","Cuba","CFG","22.14999962","-80.41419983"
"2630","Juana Azurduy De Padilla Airport","Sucre","Bolivia","SRE","-19.00709915","-65.28869629"
"511","Barrow Walney Island Airport","Barrow Island","United Kingdom","BWF","54.1286111","-3.2675"
"10313","Kamarata Airport","Uruyén","Venezuela","KTV","5.75","-62.41600037"
"6215","Clearwater Air Park","Clearwater","United States","CLW","27.97669983","-82.75869751"
"5837","Camp Bastion Airport","Camp Bastion","Afghanistan","OAZ","31.86380005","64.22460175"
"4565","Longana Airport","Longana","Vanuatu","LOD","-15.30669975","167.9669952"
"949","M'Vengue El Hadj Omar Bongo Ondimba International Airport","Franceville","Gabon","MVB","-1.656159997","13.43799973"
"491","Lasham Airport","Lasham","United Kingdom","QLA","51.18719864","-1.033499956"
"68","Gjoa Haven Airport","Gjoa Haven","Canada","YHK","68.63559723","-95.84970093"
"7932","Sao Joao Del Rei","","Brazil","JDR","-21.0863","-44.2263"
"9612","Princeton Municipal Airport","Princeton","United States","PNN","45.20069885","-67.56439972"
"1317","Marseille Provence Airport","Marseille","France","MRS","43.43927192","5.221424103"
"2241","Yamagata Airport","Yamagata","Japan","GAJ","38.41189957","140.3710022"
"3317","Lemoore Naval Air Station (Reeves Field) Airport","Lemoore","United States","NLC","36.33300018","-119.9520035"
"5305","Aspen-Pitkin Co/Sardy Field","Aspen","United States","ASE","39.22320175","-106.8690033"
"3181","Pyongyang Sunan International Airport","Pyongyang","North Korea","FNJ","39.224098","125.669998"
"4487","Kahramanmaraş Airport","Kahramanmaras","Turkey","KCM","37.53882599","36.95352173"
"7894","INGHAM","Ingham","Australia","IGH","-18.6656","146.1475"
"8853","Leo Airport","Leo","Burkina Faso","XLU","11.10000038","-2.099999905"
"3911","Joint Base Balad","Al Bakr","Iraq","XQC","33.94020081","44.36159897"
"7872","  Changsha","Changsha","China","HHA","28.1892","113.2196"
"39","Clyde River Airport","Clyde River","Canada","YCY","70.48609924","-68.51670074"
"1744","General Guadalupe Victoria International Airport","Durango","Mexico","DGO","24.12420082","-104.5279999"
