,Name,City,Country,IATA,Latitude,Longitude
173,Abbotsford Airport,Abbotsford,Canada,YXX,49.02529907226562,-122.36100006103516
174,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.709598541300004,-135.067001343
175,North Bay Jack Garland Airport,North Bay,Canada,YYB,46.363602,-79.422798
176,Calgary International Airport,Calgary,Canada,YYC,51.113899231000005,-114.019996643
177,Smithers Airport,Smithers,Canada,YYD,54.82469940185547,-127.18299865722656
178,Fort Nelson Airport,Fort Nelson,Canada,YYE,58.8363990784,-122.59700012200001
179,Penticton Airport,Penticton,Canada,YYF,49.46310043334961,-119.60199737548828
180,Charlottetown Airport,Charlottetown,Canada,YYG,46.290000915527344,-63.12110137939453
181,Taloyoak Airport,Spence Bay,Canada,YYH,69.5466995239,-93.57669830319999
182,Victoria International Airport,Victoria,Canada,YYJ,48.646900177,-123.426002502
183,Lynn Lake Airport,Lynn Lake,Canada,YYL,56.86389923095703,-101.07599639892578
184,Swift Current Airport,Swift Current,Canada,YYN,50.291900634799994,-107.691001892
185,Churchill Airport,Churchill,Canada,YYQ,58.73920059204102,-94.06500244140624
186,Goose Bay Airport,Goose Bay,Canada,YYR,53.3191986084,-60.425800323500006
187,St. John's International Airport,St. John's,Canada,YYT,47.61859893800001,-52.751899719200004
188,Kapuskasing Airport,Kapuskasing,Canada,YYU,49.41389846801758,-82.46749877929688
189,Armstrong Airport,Armstrong,Canada,YYW,50.29029846191406,-88.90969848632812
190,Mont Joli Airport,Mont Joli,Canada,YYY,48.60860061645508,-68.20809936523439
191,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772003174,-79.63059997559999
192,Downsview Airport,Toronto,Canada,YZD,43.74250030517578,-79.4655990600586
193,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.88529968261719,-82.56780242919922
194,Yellowknife Airport,Yellowknife,Canada,YZF,62.46279907226562,-114.44000244140624
195,Slave Lake Airport,Slave Lake,Canada,YZH,55.293098449700004,-114.777000427
196,Sandspit Airport,Sandspit,Canada,YZP,53.25429916379999,-131.813995361
197,Chris Hadfield Airport,Sarnia,Canada,YZR,42.9994010925293,-82.30889892578125
198,Port Hardy Airport,Port Hardy,Canada,YZT,50.68059921264648,-127.36699676513672
199,Whitecourt Airport,Whitecourt,Canada,YZU,54.14390182495117,-115.78700256347656
200,Sept-Îles Airport,Sept-iles,Canada,YZV,50.22330093383789,-66.26560211181639
201,Teslin Airport,Teslin,Canada,YZW,60.17279815673828,-132.74299621582028
202,CFB Greenwood,Greenwood,Canada,YZX,44.98440170288086,-64.91690063476561
203,Faro Airport,Faro,Canada,ZFA,62.20750045776367,-133.37600708007812
204,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.40750122070311,-134.86099243164062
205,Blida Airport,Blida,Algeria,QLD,36.50360107421875,2.8141698837280287
206,Bou Saada Airport,Bou Saada,Algeria,BUJ,35.33250045776367,4.206389904022217
207,Soummam Airport,Bejaja,Algeria,BJA,36.712001800500005,5.0699200630200005
208,Houari Boumediene Airport,Algier,Algeria,ALG,36.691001892089844,3.215409994125366
209,Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.292801,9.45244
212,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.7234992981,8.62265014648
214,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.8115005493,5.45107984543
215,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.7951011658,5.873610019680001
216,Mecheria Airport,Mecheria,Algeria,MZW,33.535900116,-0.242353007197
218,Rabah Bitat Airport,Annaba,Algeria,AAE,36.822201,7.809174
219,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.2760009765625,6.620389938354492
220,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.4315986633,8.120719909670001
221,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.93040084838867,3.311539888381958
222,Bou Chekif Airport,Tiaret,Algeria,TID,35.3410987854,1.4631500244100002
224,Tindouf Airport,Tindouf,Algeria,TIN,27.700399398800002,-8.167099952700001
225,Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,36.212699890100005,1.33176994324
226,Tafaraoui Airport,Oran,Algeria,TAF,35.54240036010742,-0.5322780013084412
227,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.0167007446,-1.45000004768
228,Es Senia Airport,Oran,Algeria,ORN,35.6239013672,-0.6211829781529999
229,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,35.1717987061,-0.593275010586
230,Ghriss Airport,Ghriss,Algeria,MUW,35.207698822021484,0.14714199304580688
231,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.83760070800781,-0.1864140033721924
232,Biskra Airport,Biskra,Algeria,BSK,34.793300628699996,5.73823022842
233,El Golea Airport,El Golea,Algeria,ELG,30.5713005065918,2.8595900535583496
234,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.38410186767578,3.794110059738159
235,Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.673000335700003,6.140439987180001
236,In Salah Airport,In Salah,Algeria,INZ,27.2509994507,2.51202011108
237,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.067798614501946,6.088669776916504
238,Laghouat Airport,Laghouat,Algeria,LOO,33.764400482199996,2.92833995819
239,Timimoun Airport,Timimoun,Algeria,TMX,29.237100601199998,0.276033014059
240,Ain el Beida Airport,Ouargla,Algeria,OGX,31.917200088500977,5.412779808044434
241,In Aménas Airport,Zarzaitine,Algeria,IAM,28.0515,9.64291
242,Cadjehoun Airport,Cotonou,Benin,COO,6.357230186462402,2.384350061416626
243,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.3532,-1.51242
244,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.160099983215332,-4.33096981048584
245,Kotoka International Airport,Accra,Ghana,ACC,5.605189800262451,-0.16678600013256073
246,Tamale Airport,Tamale,Ghana,TML,9.55718994140625,-0.8632140159606934
248,Sunyani Airport,Sunyani,Ghana,NYI,7.361830234527588,-2.3287599086761475
249,Takoradi Airport,Takoradi,Ghana,TKD,4.896059989929199,-1.7747600078582764
250,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.261390209197998,-3.9262900352478014
251,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.738800048828125,-5.073669910430908
252,Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.7928099632263175,-6.473189830780027
253,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.38718032837,-5.556660175319999
254,Man Airport,Man,Cote d'Ivoire,MJC,7.272069931030272,-7.58735990524292
255,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.746719837188722,-6.660820007324219
256,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.9031701088,-5.36558008194
257,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161132812,7.263169765472412
258,Akure Airport,Akure,Nigeria,AKR,7.246739864349365,5.3010101318359375
259,Benin Airport,Benin,Nigeria,BNI,6.3169798851013175,5.5995001792907715
260,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.976019859313965,8.347200393676758
