"id","Name","City","Country","IATA","Latitude","Longitude"
"8556","Candle 2 Airport","Candle","United States","CDL","65.90769959","-161.9259949"
"5863","Cooinda Airport","Cooinda","Australia","CDA","-12.90330029","132.5319977"
"2424","Eduardo Gomes International Airport","Manaus","Brazil","MAO","-3.038609982","-60.04970169"
"10423","Vinh Long Airfield","","Vietnam","XVL","10.2509","105.9445"
"9136","Agostinho Neto Airport","Ponta Do Sol","Cape Verde","NTO","17.20280075","-25.09059906"
"98","High Level Airport","High Level","Canada","YOJ","58.62139893","-117.1650009"
"7791","  Chisana","Chisana","United States","CZN","62.0712","-142.0484"
"4385","Assiut International Airport","Asyut","Egypt","ATZ","27.04649925","31.01199913"
"9445","Farmington Regional Airport","Farmington","United States","FAM","37.76110077","-90.4285965"
"8009","XXX","","","LIK","9.8167","169.3167"
"8484","Munich Rail (DE)","München","Germany","ZMU","48.1394","11.5609"
"1445","Skiros Airport","Skiros","Greece","SKU","38.96760178","24.48719978"
"6897","Juína Airport","Juina","Brazil","JIA","-11.419444","-58.701668"
"8637","Haivaro Airport","Haivaro","Papua New Guinea","HIT","-6.9406","143.059"
"5679","Halls Creek Airport","Halls Creek","Australia","HCQ","-18.23390007","127.6699982"
"735","Spangdahlem Air Base","Spangdahlem","Germany","SPM","49.97269821","6.692500114"
"2794","Pulkovo Airport","St. Petersburg","Russia","LED","59.8003006","30.26250076"
"9513","Kira Airport","Tiwa","Papua New Guinea","KIQ","-8.065111111","147.3320278"
"4479","Sármellék International Airport","Sármellék","Hungary","SOB","46.686391","17.159084"
"2937","Jaisalmer Airport","Jaisalmer","India","JSA","26.88870049","70.86499786"
"6769","Hechi Jinchengjiang Airport","Hechi","China","HCJ","24.805","107.6997"
"9212","Kornasoren Airfield","","Indonesia","FOO","-0.936325014","134.871994"
"1196","Adolfo Suárez Madrid–Barajas Airport","Madrid","Spain","MAD","40.471926","-3.56264"
"3980","Bundaberg Airport","Bundaberg","Australia","BDB","-24.90390015","152.3190002"
"9366","Kyle Oakley Field","Penny","United States","CEY","36.66460037","-88.37280273"
"10550","Lawn Hill Airport","","","LWH","-18.56830025","138.6349945"
"3125","Brisbane Archerfield Airport","Brisbane","Australia","ACF","-27.57029915","153.0079956"
"9951","San Miguel Airport","San Miguel, Panamá Province","Panama","NMG","8.4566","-78.9339"
"5004","Dalanzadgad Airport","Dalanzadgad","Mongolia","DLZ","43.59170151","104.4300003"
"5365","Astoria Regional Airport","Astoria","United States","AST","46.15800095","-123.8789978"
"6467","Maranggo Airport","Sulawesi Tenggara","Indonesia","TQQ","-5.764570236","123.9169998"
"9159","Haibei Qilian Airport","Haibei Zangzuzizhizhou","China","HBQ","38.012","100.644"
"7772","Chicken","Chicken","United States","CKX","64.0713","-141.9523"
"6515","Johnson County Executive Airport","Olathe","United States","OJC","38.84759903","-94.73760223"
"2196","Iki Airport","Iki","Japan","IKI","33.74900055","129.7850037"
"4975","Changzhi Airport","Changzhi","China","CIH","36.247501","113.125999"
"710","Sundsvall-Härnösand Airport","Sundsvall","Sweden","SDL","62.52809906","17.44389915"
"638","Kristiansund Airport (Kvernberget)","Kristiansund","Norway","KSU","63.11180115","7.824520111"
"5489","Siuna","Siuna","Nicaragua","SIU","13.72722244","-84.77777863"
"4782","Andizhan Airport","Andizhan","Uzbekistan","AZN","40.72769928","72.29399872"
"10498","Elkedra Airport","","","EKD","-21.17250061","135.4440002"
"3072","Babo Airport","Babo","Indonesia","BXB","-2.532239914","133.4389954"
"8813","Las Cruces Airport","","Colombia","SNT","7.38322","-73.505402"
"5313","Spirit of St Louis Airport","Null","United States","SUS","38.66210175","-90.65200043"
"4576","Tongoa Airport","Tongoa Island","Vanuatu","TGH","-16.89109993","168.5509949"
"10072","Sissano Airport","Sissano","Papua New Guinea","SIZ","-2.999444444","142.0445"
"3364","Pensacola Regional Airport","Pensacola","United States","PNS","30.47340012","-87.18659973"
"8806","Caia Airport","Caia","Mozambique","CMZ","-17.8331","35.3341"
"940","Xangongo Airport","Xangongo","Angola","XGN","-16.7553997","14.96529961"
"3534","Ontario International Airport","Ontario","United States","ONT","34.05599976","-117.6009979"
"7894","INGHAM","Ingham","Australia","IGH","-18.6656","146.1475"
"9755","Francisco Primo de Verdad y Ramos Airport","Santa Rosa","Mexico","LOM","21.258983","-101.943758"
"937","Lubango Airport","Lubango","Angola","SDD","-14.92469978","13.57499981"
"3169","Wagga Wagga City Airport","Wagga Wagga","Australia","WGA","-35.16529846","147.4660034"
"9753","Munbil Airport","Bogut","Papua New Guinea","LNF","-4.855941","141.220165"
"3365","Grand Forks Air Force Base","Red River","United States","RDR","47.96110153","-97.40119934"
"4978","Baotou Airport","Baotou","China","BAV","40.56000137","109.9970016"
"7273","Smithton Airport","","Australia","SIO","-40.83499908","145.0839996"
"750","Flugplatz Kitzingen","Kitzingen","Germany","KZG","49.743099","10.2006"
"7489","Urzhar Airport","Urzhar","Kazakhstan","UZR","47.09115","81.66521"
"10360","Mindiptana Airport","","Indonesia","MDP","-5.75","140.3670044"
"8421","TIKRIT/AL SAHRA AAF","Tikrit","Iraq","XTV","34.6732","43.543"
"9040","Salima Airport","Senga","Malawi","LMB","-13.7558927","34.58418846"
"8062","  Manare","Manari","Papua New Guinea","MRM","-9.2","147.617"
"8200","SAO BORJA","Santo Tomé","Argentina","QOJ","-28.5025","-56.0322"
"7886","Hollis","Hollis","United States","HYL","55.4816","-132.6461"
"8859","Fada N'gourma Airport","Fada-Ngourma","Burkina Faso","FNG","12.03299999","0.349999994"
"9829","Moroak Airport","Flying Fox","Australia","MRT","-14.818133","133.700594"
"5476","Bonnyville Airport","Bonnyville","Canada","YBY","54.304199","-110.744003"
"5031","Luzhou Airport","Luzhou","China","LZO","28.85219955","105.3929977"
"2159","Pohnpei International Airport","Pohnpei","Micronesia","PNI","6.985099792","158.2089996"
"2211","Oita Airport","Oita","Japan","OIT","33.47940063","131.7369995"
"974","Abeche Airport","Abeche","Chad","AEH","13.84700012","20.84429932"
"1767","General Mariano Escobedo International Airport","Monterrey","Mexico","MTY","25.7784996","-100.1070023"
"9608","Park Falls Municipal Airport","Park Falls","United States","PKF","45.95500183","-90.42440033"
"3494","Altoona Blair County Airport","Altoona","United States","AOO","40.29639816","-78.31999969"
"10011","Puerto La Victoria Airport","Cerro Morado","Paraguay","PCJ","-22.295041","-57.866333"
"6263","Keokuk Municipal Airport","Keokuk","United States","EOK","40.4598999","-91.42849731"
"3748","Barysiai Airport","Barysiai","Lithuania","HLJ","56.0705986","23.55809975"
"9118","Boutilimit Airport","Boutilimit","Mauritania","OTL","17.53300095","-14.68299961"
"2739","Henry E Rohlsen Airport","St. Croix Island","Virgin Islands","STX","17.70190048","-64.79859924"
"6600","Cowra Airport","Chatsworth","Australia","CWT","-33.84469986","148.6490021"
"6249","Marco Island Executive Airport","Marco Island Airport","United States","MRK","25.995001","-81.672501"
"1007","Lisala Airport","Lisala","Congo (Kinshasa)","LIQ","2.17066","21.496901"
"8878","Boundiali Airport","Boundiali","Côte D'Ivoire","BXI","9.532999992","-6.467000008"
"5349","Mc Cook Ben Nelson Regional Airport","McCook","United States","MCK","40.20629883","-100.5920029"
"4948","Gove Airport","Gove","Australia","GOV","-12.26939964","136.8179932"
"10019","Taean Airport","Taean-Gun","South Korea","QDY","36.59453","126.295803"
"8252","Saatut","Saattut","Greenland","SAE","70.8117","-51.6333"
"8529","Marlboro Airport","Marlborough","United States","MXG","42.343201","-71.509002"
"5563","Tsletsi Airport","Djelfa","Algeria","QDJ","34.6657","3.351"
"9205","Anggi Airport","","Indonesia","AGD","-1.3858","133.8737"
"4153","Qeqertarsuaq Heliport","Qeqertarsuaq Airport","Greenland","JGO","69.25118199","-53.51487637"
"2781","Yuzhno-Sakhalinsk Airport","Yuzhno-sakhalinsk","Russia","UUS","46.88869858","142.7180023"
"4414","Bradford Regional Airport","Bradford","United States","BFD","41.80310059","-78.64009857"
"5776","Lakeland Linder International Airport","Lakeland","United States","LAL","27.988899","-82.018602"
"4250","Muskrat Dam Airport","Muskrat Dam","Canada","MSA","53.44139862","-91.76280212"
"9476","Goshen Municipal Airport","Goshen","United States","GSH","41.52640152","-85.79290009"
"9589","Omak Airport","Omak","United States","OMK","48.46440125","-119.5179977"
"2835","Kurumoch International Airport","Samara","Russia","KUF","53.50490189","50.16429901"
"5706","Takaka Airport","Takaka","New Zealand","KTF","-40.81330109","172.7749939"
"173","Abbotsford Airport","Abbotsford","Canada","YXX","49.02529907","-122.3610001"
"79","Schefferville Airport","Schefferville","Canada","YKL","54.80530167","-66.80529785"
"3722","Umbu Mehang Kunda Airport","Waingapu","Indonesia","WGP","-9.66922","120.302002"
"8417","  Qualicum Beach","Qualicum Beach","Canada","XQU","49.3372","-124.3939"
"3753","Panevėžys Air Base","Panevezys","Lithuania","PNV","55.72940063","24.46080017"
