"id","Name","City","Country","IATA","Latitude","Longitude"
"4668","Catarman National Airport","Catarman","Philippines","CRM","12.5024004","124.6360016"
"9283","Mesquite Airport","Mesquite","United States","MFH","36.83499908","-114.0550003"
"3286","Anniston Regional Airport","Anniston","United States","ANB","33.5882","-85.8581"
"2204","Yakushima Airport","Yakushima","Japan","KUM","30.38559914","130.6589966"
"5052","Rügen Airport","Ruegen","Germany","GTI","54.3833313","13.3255558"
"10375","Kebar Airport","","Indonesia","KEQ","-0.637100995","133.128006"
"4942","Newman Airport","Newman","Australia","ZNE","-23.4178009","119.8030014"
"10615","Pandie Pandie Airport","","","PDE","-26.11669922","139.3999939"
"7444","Attu Heliport","Attu","Greenland","QGQ","67.94066286","-53.62186968"
"8598","Kulgera Airport","","","KGR","-25.84280014","133.2920074"
"7721","  Namatanai","Namatanai","Papua New Guinea","ATN","-3.667","152.433"
"5412","Akhiok Airport","Akhiok","United States","AKK","56.93870163","-154.1829987"
"1079","Maio Airport","Maio","Cape Verde","MMO","15.1559","-23.21369934"
"9574","Stroudsburg Pocono Airport","East Stroudsburg","United States","ESP","41.03580093","-75.16059875"
"8649","Lab Lab Airport","Garau","Papua New Guinea","LAB","-5.7204","148.0566"
"1842","Vilo Acuña International Airport","Cayo Largo del Sur","Cuba","CYO","21.61650085","-81.54599762"
"2414","Diomício Freitas Airport","Criciuma","Brazil","CCM","-28.72444344","-49.42139053"
"4943","Olympic Dam Airport","Olympic Dam","Australia","OLP","-30.48500061","136.8769989"
"10158","Barra do Corda Airport","","Brazil","BDC","-5.5025","-45.215833"
"2630","Juana Azurduy De Padilla Airport","Sucre","Bolivia","SRE","-19.00709915","-65.28869629"
"7890","NICARO","Nicaro","Cuba","ICR","20.6833","-75.5333"
"3369","Warren ""Bud"" Woods Palmer Municipal Airport","Palmer","United States","PAQ","61.594898","-149.08901"
"5106","Mekoryuk Airport","Mekoryuk","United States","MYU","60.37139893","-166.2709961"
"6469","Yichun Mingyueshan Airport","Yichun","China","YIC","27.8025","114.3062"
"9646","Mid-Carolina Regional Airport","Salisbury","United States","SRW","35.645901","-80.520302"
"3568","New Orleans NAS JRB/Alvin Callender Field","New Orleans","United States","NBG","29.82530022","-90.03500366"
"8908","Vejrø","Horslunde","Denmark","-","55.035","11.375"
"6042","Apalachicola Regional Airport","Apalachicola","United States","AAF","29.72750092","-85.02749634"
"3962","Kastelorizo Airport","Kastelorizo","Greece","KZS","36.14170074","29.57640076"
"1656","Balıkesir Merkez Airport","Balikesir","Turkey","BZI","39.61930084","27.9260006"
"7553","Adampur Airport","Adampur","India","AIP","31.4338","75.758797"
"3123","Seletar Airport","Singapore","Singapore","XSP","1.416949987","103.8679962"
"7102","West Woodward Airport","Woodward","United States","WWR","36.438","-99.5226667"
"1137","Dongola Airport","Dongola","Sudan","DOG","19.15390015","30.43009949"
"5496","Charlotte Amalie Harbor Seaplane Base","Charlotte Amalie","Virgin Islands","SPB","18.33860016","-64.94069672"
"4018","Golden Triangle Regional Airport","Columbus Mississippi","United States","GTR","33.45029831","-88.59140015"
"9306","Salida Airport Harriett Alexander Field","Poncha Springs","United States","SLT","38.5383","-106.049004"
"7645","Kannur International Airport","Kannur","India","CNN","11.918614","75.547211"
"2141","Aleppo International Airport","Aleppo","Syria","ALP","36.18069839","37.22439957"
"2231","Miho Yonago Airport","Miho","Japan","YGJ","35.49219894","133.2359924"
"5651","Carajás Airport","Parauapebas","Brazil","CKS","-6.115277767","-50.00138855"
"1286","Calvi-Sainte-Catherine Airport","Calvi","France","CLY","42.5244444","8.7930556"
"2490","Trombetas Airport","Oriximina","Brazil","TMT","-1.489599943","-56.39680099"
"2766","Osh Airport","Osh","Kyrgyzstan","OSS","40.60900116","72.79329681"
"8681","Sabah Airport","Tebuin","Papua New Guinea","SBV","-5.5765","155.0489"
"2747","George F. L. Charles Airport","Castries","Saint Lucia","SLU","14.0202","-60.992901"
