"Airline","Departure","Destination","distance_km"
"US","CHS","DFW","1585.226"
"VB","MTY","OAX","1036.813"
"FZ","DXB","EBB","3731.342"
"EK","CMN","DXB","6080.497"
"IB","MAD","LIN","1180.21"
"U6","DXB","KUF","3171.16"
"AA","MTJ","DFW","1160.818"
"6E","HYD","GAU","1677.955"
"S7","KHV","UUS","591.879"
"S7","UUS","KHV","591.879"
"B6","DXB","DFW","12919.389"
"US","DFW","MTY","845.444"
"FD","CEI","HGH","2358.278"
"AA","MAD","DFW","7973.896"
"AT","CMN","NDJ","3294.142"
"VB","OAX","CUN","1128.142"
"PU","MAD","LIM","9526.187"
"IB","MAD","CMN","867.052"
"FZ","DXB","HYD","2546.803"
"IB","LIS","MAD","512.884"
"IB","DFW","MAD","7973.896"
"EK","HYD","DXB","2546.803"
"U2","LIS","MAD","512.884"
"6E","HYD","DXB","2546.803"
"NK","SJD","DFW","1647.935"
"JL","HKD","OIR","119.717"
"3O","CMN","SAW","3349.831"
"TP","CMN","LIS","617.782"
"KL","HGH","CGQ","1599.128"
"EK","DXB","CMN","6080.497"
"US","LIM","DFW","5424.053"
"MU","LZO","ZHA","985.325"
"EK","DXB","LIS","6137.795"
"AM","CUN","MAD","7961.518"
"AY","DFW","MAD","7973.896"
"CA","HGH","ZHA","1421.145"
"AA","DFW","MTJ","1160.818"
"LA","LIM","DFW","5424.053"
"US","PIA","DFW","1082.532"
"SU","LED","KUF","1395.62"
"EK","DXB","SAW","2967.5"
"M5","DHB","RCE","10.19"
"PC","SAW","KCM","756.708"
"U6","KUF","DXB","3171.16"
"AT","MAD","CMN","867.052"
"3F","HYL","KTB","23.958"
"LA","MAD","LIM","9526.187"
"BA","MAD","DFW","7973.896"
"MF","CGQ","HGH","1599.128"
"CA","HGH","CGQ","1599.128"
"VB","MTY","SJD","1015.614"
"EK","LIS","DXB","6137.795"
"GJ","HGH","WDS","941.018"
"PC","MAD","SAW","2755.684"
"VB","OAX","MTY","1036.813"
"AA","DFW","OAX","1767.93"
"FZ","DXB","LYP","1852.084"
"PC","KCM","SAW","756.708"
"EB","MAD","CUN","7961.518"
"EB","CUN","MAD","7961.518"
"MF","HGH","HGH","0.0"
"NK","CUN","DFW","1657.192"
"US","DFW","ONT","1908.342"
"AA","CUN","DFW","1657.192"
"VB","CUN","MTY","1448.345"
"HY","AZN","LED","3570.181"
"IB","MAD","DFW","7973.896"
"MU","ZHA","HGH","1421.145"
"TK","SAW","STW","1139.893"
"CZ","CGQ","HGH","1599.128"
"A3","SKG","LED","2202.793"
"EG","LED","KQT","3643.893"
"TK","DXB","SAW","2967.5"
"AA","DFW","SJD","1647.935"
"CA","ZHA","HGH","1421.145"
"LA","LIM","CUN","3827.571"
"US","PNS","DFW","969.87"
"EK","DXB","HYD","2546.803"
"EK","DFW","DXB","12919.389"
"A4","LED","STW","1813.935"
"W4","LIM","ATA","302.053"
"Y4","MTY","CUN","1448.345"
"HY","LED","AZN","3570.181"
"HU","JNZ","HGH","1210.22"
"AA","LIM","DFW","5424.053"
"UX","MAD","CUN","7961.518"
"MU","LZO","HGH","1462.021"
"UX","LIS","MAD","512.884"
"AA","MTY","DFW","845.444"
"EK","EBB","DXB","3731.342"
"LA","MAO","LIM","2127.994"
"VB","SJD","MTY","1015.614"
"IB","LIM","MAD","9526.187"
"US","SJD","DFW","1647.935"
"VB","CUN","OAX","1128.142"
"SU","UUS","KHV","591.879"
"AZ","MAD","LIN","1180.21"
"S7","LED","KLF","689.447"
"AM","CUN","MTY","1448.345"
"TP","LIS","MAD","512.884"
"AA","DFW","LIM","5424.053"
"DP","LED","KUF","1395.62"
"US","CUN","DFW","1657.192"
"FZ","HYD","DXB","2546.803"
"AA","DFW","CHS","1585.226"
"NK","DFW","SJD","1647.935"
"CZ","HGH","CGQ","1599.128"
"5N","LED","KUF","1395.62"
"TK","STW","SAW","1139.893"
"9I","HYD","SAG","507.123"
"US","DFW","MAD","7973.896"
"4O","MTY","CUN","1448.345"
"AA","DFW","MTY","845.444"
"HZ","KHV","UUS","591.879"
"GQ","SKG","SKU","215.846"
"AA","ONT","DFW","1908.342"
"3O","SAW","CMN","3349.831"
"AZ","LIN","MAD","1180.21"
"A3","LED","SKG","2202.793"
"M5","RCE","DHB","10.19"
"EK","DXB","CRK","6832.873"
"AT","NDJ","CMN","3294.142"
"4O","CUN","MTY","1448.345"
"S7","KLF","LED","689.447"
"PC","BAL","SAW","1065.716"
"US","DFW","PIA","1082.532"
"AM","MTY","CUN","1448.345"
"Y4","MTY","SJD","1015.614"
"S4","MAD","LIS","512.884"
"LA","CUN","LIM","3827.571"
"PC","SAW","BAL","1065.716"
"AI","HYD","DXB","2546.803"
"EK","DXB","DFW","12919.389"
"HU","HGH","JNZ","1210.22"
"EK","DXB","EBB","3731.342"
"3F","KTB","HYL","23.958"
"S4","LIS","MAD","512.884"
"UX","MAD","LIS","512.884"
"TK","BAL","SAW","1065.716"
"IB","TRN","MAD","1053.277"
"AY","MAD","DFW","7973.896"
"US","MTY","DFW","845.444"
"EK","LED","DXB","4300.608"
"ET","FYT","NDJ","777.862"
"TP","MAD","LIS","512.884"
"Y4","CUN","MTY","1448.345"
"IB","MAD","TRN","1053.277"
"GJ","HGH","BFJ","1494.115"
"AA","DFW","CUN","1657.192"
"AT","CMN","MAD","867.052"
"HZ","UUS","KHV","591.879"
"IB","MAD","LIS","512.884"
"MF","HGH","CGQ","1599.128"
"TK","SAW","BAL","1065.716"
"AI","DXB","HYD","2546.803"
"FZ","DXB","ISU","1495.581"
"TP","LIS","DXB","6137.795"
"AT","TRN","CMN","1851.8"
"AT","CMN","LIS","617.782"
"IB","LIN","MAD","1180.21"
"AA","CHS","DFW","1585.226"
"Y4","SJD","MTY","1015.614"
"AV","LIM","CUN","3827.571"
"HO","HGH","BFJ","1494.115"
