"id","Name","City","Country","IATA","Latitude","Longitude"
"8786","Macmillan Pass Airport","","","XMP","63.18109894","-130.2019959"
"7926","  Jacquinot Bay","Malmal","Papua New Guinea","JAQ","-5.6525","151.5069"
"3722","Umbu Mehang Kunda Airport","Waingapu","Indonesia","WGP","-9.66922","120.302002"
"3599","Riverside Municipal Airport","Riverside","United States","RAL","33.95190048","-117.4449997"
"6458","Cochrane Airport","Cochrane","Canada","YCN","49.10559845","-81.01360321"
"1012","Bukavu Kavumu Airport","Bukavu/kavumu","Congo (Kinshasa)","BKY","-2.308979988","28.80879974"
"5437","Nelson Lagoon Airport","Nelson Lagoon","United States","NLG","56.00749969","-161.1600037"
"3371","Wiley Post Will Rogers Memorial Airport","Barrow","United States","BRW","71.285402","-156.766008"
"4674","Lago Argentino Airport","El Calafate","Argentina","ING","-50.336102","-72.248596"
"4435","Kili Airport","Kili Island","Marshall Islands","KIO","5.644515","169.119507"
"8164","ARNHEIM/DEELEN","Hoenderloo","Netherlands","QAR","52.0597","5.8722"
"4012","Joslin Field Magic Valley Regional Airport","Twin Falls","United States","TWF","42.4818","-114.487999"
"1835","Jacmel Airport","Jacmel","Haiti","JAK","18.24110031","-72.51850128"
"8373","ZWARA","Zuwara","Libya","WAX","32.98","12.015"
"220","Cheikh Larbi Tébessi Airport","Tebessa","Algeria","TEE","35.43159866","8.12071991"
"4747","Rivne International Airport","Rivne","Ukraine","RWN","50.60710144","26.14159966"
"9448","Fresno Chandler Executive Airport","Fresno","United States","FCH","36.732399","-119.82"
"3455","Mc Guire Air Force Base","Wrightstown","United States","WRI","40.0155983","-74.59169769"
"1480","Olbia Costa Smeralda Airport","Olbia","Italy","OLB","40.898701","9.51763"
"2937","Jaisalmer Airport","Jaisalmer","India","JSA","26.88870049","70.86499786"
"2671","Alejandro Velasco Astete International Airport","Cuzco","Peru","CUZ","-13.53569984","-71.938797"
"8771","Courtenay Airpark","Courtenay","Canada","YCA","49.6794014","-124.9820023"
"424","Ivalo Airport","Ivalo","Finland","IVL","68.6072998","27.40530014"
"4634","Kalaupapa Airport","Molokai","United States","LUP","21.21100044","-156.973999"
"5842","Yuba County Airport","Yuba City","United States","MYV","39.09780121","-121.5699997"
"4297","Łódź Władysław Reymont Airport","Lodz","Poland","LCJ","51.72190094","19.3980999"
"7784","Caye Caulker                            ","","","CUK","17.7347","-88.0325"
"1823","Limon International Airport","Limon","Costa Rica","LIO","9.957960129","-83.02200317"
"9244","Ioma Airport","Ioma","Papua New Guinea","IOP","-8.3614","147.84"
"4184","Cat Lake Airport","Cat Lake","Canada","YAC","51.72719955","-91.82440186"
"4979","Shijiazhuang Daguocun International Airport","Shijiazhuang","China","SJW","38.28070068","114.6969986"
"3790","Talkeetna Airport","Talkeetna","United States","TKA","62.32049942","-150.0939941"
"8853","Leo Airport","Leo","Burkina Faso","XLU","11.10000038","-2.099999905"
"10659","Windarling Airport","","","WRN","-30.031667","119.39"
"3818","Lijiang Airport","Lijiang","China","LJG","26.68000031","100.2460022"
"9316","Ashley Municipal Airport","Ashley","United States","ASY","46.02389908","-99.3526001"
"7702","  Wanigela","Sarad Mission","Papua New Guinea","AGL","-9.333","149.15"
"10258","Santa Paula Airport","Santa Paula","United States","SZP","34.34719849","-119.060997"
"7900","Ikerasak","Ikerasak","Greenland","IKE","70.4956","-51.3031"
"1284","Metz-Nancy-Lorraine Airport","Metz","France","ETZ","48.98210144","6.251319885"
"7002","Port Hawkesbury Airport","Port Hawkesbury","Canada","YPS","45.65670013","-61.36809921"
"9082","Moba Airport","Moba","Democratic Republic Of The Congo","BDV","-7.066999912","29.78300095"
"6160","Jack Edwards Airport","Gulf Shores","United States","GUF","30.29050064","-87.67179871"
"1743","Cozumel International Airport","Cozumel","Mexico","CZM","20.5223999","-86.92559814"
"9136","Agostinho Neto Airport","Ponta Do Sol","Cape Verde","NTO","17.20280075","-25.09059906"
"3881","Picton Aerodrome","Picton","New Zealand","PCN","-41.34609985","173.9559937"
"8236","Marinda","","Indonesia","RJM","-0.4255","130.7758"
"8791","Okoyo Airport","Oliéme","Republic Of The Congo","OKG","-1.448330045","15.07330036"
"5365","Astoria Regional Airport","Astoria","United States","AST","46.15800095","-123.8789978"
"8551","Chena Hot Springs Airport","","","CEX","65.05180359","-146.0469971"
"4859","Pangsuma Airport","Putussibau-Borneo Island","Indonesia","PSU","0.835578024","112.9369965"
"9111","Gulgubip Airport","Golgubip","Papua New Guinea","GLP","-5.2808","141.5411"
"7772","Chicken","Chicken","United States","CKX","64.0713","-141.9523"
"4213","Waskaganish Airport","Waskaganish","Canada","YKQ","51.47330093","-78.75830078"
"8223","AIX-LES MILLES","Aix-En-Provence","France","QXB","43.5017","5.3708"
"10295","Varandey Airport","Varandey","Russia","VRI","68.848503","58.201401"
"2421","Marechal Rondon Airport","Cuiaba","Brazil","CGB","-15.65289974","-56.11669922"
"3326","Tinker Air Force Base","Oklahoma City","United States","TIK","35.41469955","-97.38659668"
"10313","Kamarata Airport","Uruyén","Venezuela","KTV","5.75","-62.41600037"
"278","Tahoua Airport","Tahoua","Niger","THZ","14.8757","5.265359879"
"10072","Sissano Airport","Sissano","Papua New Guinea","SIZ","-2.999444444","142.0445"
"8117","Contadora                               ","Saboga","Panama","OTD","8.617","-79.033"
"9090","Gandajika Airport","Gandajika","Democratic Republic Of The Congo","GDJ","-6.733","23.950001"
"8825","Chitina Airport","Chitina","United States","CXC","61.582901","-144.427002"
"8473","Delma Island","","","ZDY","24.5031","52.3358"
"816","Overberg Airport","Overberg","South Africa","OVG","-34.55490112","20.2507"
"5632","Chakcharan Airport","Chaghcharan","Afghanistan","CCN","34.53300095","65.26699829"
"10572","Minlaton Airport","Minlaton","Australia","XML","-34.75","137.5330048"
"8314","THAKHEK","Thakhek","Laos","THK","17.3969","104.8067"
"10237","Taguatinga Airport","","Brazil","QHN","-12.43388939","-46.40055466"
"2182","Matsumoto Airport","Matsumoto","Japan","MMJ","36.16680145","137.9230042"
"10585","Mittebah Airport","","","MIY","-18.8093","137.0815"
"9419","Mumias Airport","Mumias","Kenya","MUM","0.355399","34.528234"
